行政區,段小段,地號,標示部面積,所有權登記次序,所有權持分類別,所有權持分分母,所有權持分分子,公告地價,申報地價,核定申報地價情形
中正區,福和段二小段,01800003,1197.0,0036,,25357320,28323,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800007,2589.0,0036,,25357320,28323,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800006,194.0,0036,,25357320,28323,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800005,8166.0,0036,,6339330,7343,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02430000,4196.0,0004,,240,3,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800000,10224.0,0037,,6339330,7343,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800009,19881.0,0037,,25357320,28323,"59,906","71,887",按公告地價120%申報
中正區,福和段二小段,01800008,1841.0,0037,,25357320,28323,"72,859","87,430",按公告地價120%申報
中正區,福和段二小段,01800004,1135.0,0037,,25357320,28323,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800003,1197.0,0037,,25357320,28323,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800007,2589.0,0037,,25357320,28323,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800005,8166.0,0037,,6339330,7343,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02430000,4196.0,0005,,240,3,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800010,97.0,0037,,25357320,28323,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800006,194.0,0037,,25357320,28323,"59,900","71,880",按公告地價120%申報
中正區,河堤段六小段,02210003,53.0,0015,,2,1,"82,300","98,760",按公告地價120%申報
中正區,河堤段六小段,02210011,8.0,0015,,2,1,"75,400","90,480",按公告地價120%申報
中正區,福和段二小段,02230000,5141.0,0046,,54,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420000,2780.0,0048,,54,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,02420001,226.0,0048,,54,1,"59,900","71,880",按公告地價120%申報
中正區,福和段二小段,01800000,10224.0,0075,,126786600,80773,"59,900","71,880",按公告地價120%申報
