鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中正區,房地(土地+建物),臺北市中正區忠孝東路一段151~180號,7.22,商,,,1080805,土地1建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080807,74.67,2,1,1,有,有,27000000,361591,,0.0,0,,RPQOMLKLJIOFFBA27CA
萬華區,房地(土地+建物),臺北市萬華區昆明街151~180號,22.71,商,,,1080925,土地3建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0610325,101.45,3,2,1,有,無,14000000,137999,,0.0,0,,RPWPMLLLJIOFFBA08CA
萬華區,房地(土地+建物)+車位,臺北市萬華區成都路121~150號,9.71,商,,,1080924,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041001,154.9,2,2,2,有,有,28000000,180762,坡道平面,31.12,0,,RPQOMLPLJIOFFBA77CA
內湖區,房地(土地+建物),臺北市內湖區五分街91~120號,11.6,住,,,1081013,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960709,52.2,2,1,1,有,有,9960000,190805,,0.0,0,含增建或未登記建物。;,RPURMLLKJIOFFCA08CA
中山區,房地(土地+建物),臺北市中山區林森北路107巷61~90號,15.16,商,,,1080922,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0751127,82.64,1,1,1,有,無,12080000,146176,,0.0,0,含增建或未登記建物。;,RPSNMLMKJIOFFCA57CA
內湖區,房地(土地+建物)+車位,臺北市內湖區瑞光路132巷69弄1~30號,72.94,住,,,1080930,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861028,175.0,3,2,2,有,有,31680000,181029,坡道平面,0.0,0,含增建或未登記建物。;,RPUOMLMKJIOFFCA87CA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路五段450巷22弄1~30號,15.95,住,,,1081011,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870925,96.16999999999999,2,2,1,有,有,16800000,174691,坡道機械,19.0,0,含增建或未登記建物。;,RPVNMLNKJIOFFCA97CA
中山區,房地(土地+建物)+車位,臺北市中山區敬業三路162巷31~60號,47.09,住,,,1080824,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890628,155.45999999999998,2,2,2,有,有,25000000,160813,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTNMLOKJIOFFCA87CA
內湖區,土地,石潭段四小段121~150地號,5.75,住,,,1081029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1305000,226957,,0.0,0,,RPUNMLOKJIOFFCA97CA
中山區,車位,臺北市中山區民權東路一段1~30號,1.75,商,,,1081016,土地0建物0車位2,地下五層,十五層,其他,停車空間,鋼筋混凝土造,0971128,80.5,0,0,0,有,有,2600000,,坡道平面,0.0,2600000,,RPQOMLOKJIOFFCA67CA
中山區,車位,臺北市中山區民權東路一段1~30號,0.87,商,,,1081017,土地0建物0車位1,地下五層,十五層,其他,停車空間,鋼筋混凝土造,0971128,40.24,0,0,0,有,有,1200000,,坡道平面,40.24,1200000,,RPSOMLOKJIOFFCA87CA
內湖區,房地(土地+建物),臺北市內湖區星雲街16巷31~60號,23.24,住,,,1081009,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730402,89.72,3,2,2,有,無,13600000,151583,,0.0,0,,RPSNMLPKJIOFFCA87CA
中山區,房地(土地+建物),臺北市中山區長春路181~210號,28.25,商,,,1080923,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,91.18,2,2,1,有,無,18500000,202895,,0.0,0,,RPPPMLSKJIOFFCA08CA
中山區,房地(土地+建物)+車位,臺北市中山區中山北路ㄧ段105巷1~30號,15.71,商,,,1081024,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060110,158.31,0,0,0,無,有,29600000,247448,升降平面,42.73,1000000,,RPQNMLKLJIOFFCA27CA
中山區,房地(土地+建物),臺北市中山區林森北路416巷1~30號,8.97,商,,,1080705,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0631026,33.72,0,0,0,無,無,4030000,119514,,0.0,0,,RPSPMLMLJIOFFCA87CA
內湖區,房地(土地+建物)+車位,臺北市內湖區康寧路三段165巷31~60號,27.54,住,,,1080830,土地1建物1車位1,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750203,103.06,3,2,1,有,無,8500000,82476,一樓平面,0.0,0,親友、員工或其他特殊關係間之交易。;親友特殊關係間之交易。車位作為前庭使用,RPPOMLMLJIOFFCA47CA
內湖區,房地(土地+建物)+車位,臺北市內湖區康寧路三段70巷1~30號,17.77,住,,,1081012,土地3建物1車位2,一層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970903,109.59,2,2,1,有,有,23680000,216078,坡道機械,32.86,0,,RPVNMLPLJIOFFCA28CA
中山區,房地(土地+建物),臺北市中山區民權東路二段92巷2弄1~30號,88.0,住,,,1080927,土地1建物1車位0,全,三層,透天厝,,加強磚造,,220.5,6,6,3,有,無,42700000,193651,,0.0,0,,RPXPMLTLJIOFFCA09CA
中山區,房地(土地+建物)+車位,臺北市中山區建國北路一段31~60號,6.12,住,,,1080906,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0961107,57.150000000000006,1,1,1,有,有,9600000,167979,升降機械,13.27,0,有夾層,RPPSMLNJKIOFFCA87CA
中山區,房地(土地+建物),臺北市中山區撫順街31~60號,10.97,商,,,1081024,土地1建物1車位0,一層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0791127,84.45,2,1,1,有,有,13500000,159858,,0.0,0,,RPQPMLPJKIOFFCA87CA
中山區,房地(土地+建物),臺北市中山區撫順街31~60號,11.73,商,,,1081024,土地1建物1車位0,一層，騎樓,九層,店面(店鋪),商業用,鋼筋混凝土造,0791127,92.10000000000001,1,1,0,有,有,22600000,245385,,0.0,0,,SPQPMLPJKIOFFCA97CA
