鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
萬華區,房地(土地+建物),臺北市萬華區貴陽街二段31~60號,7.1,商,,,1090103,土地1建物1車位0,十三層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061127,88.27000000000001,2,1,1,有,有,17680000,200295,,0.0,0,,RPQPMLLKKHPFFBA47CA
萬華區,房地(土地+建物),臺北市萬華區長泰街139巷1~30號,23.19,住,,,1090103,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0651023,80.37,3,1,1,有,無,5700000,70922,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVPMLLKKHPFFBA97CA
大同區,房地(土地+建物),臺北市大同區南京西路301~330號,127.0,商,,,1081216,土地2建物1車位0,全,四層,透天厝,,加強磚造,,318.18,0,0,0,無,無,121000000,380288,,0.0,0,含增建或未登記建物。;,RPWPMLLKKHPFFBA08CA
大同區,房地(土地+建物),臺北市大同區重慶北路三段9巷31~60號,28.75,住,,,1081216,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610602,81.98,2,2,1,有,無,11550000,140888,,0.0,0,含增建或未登記建物。;,RPSQMLLKKHPFFBA77CA
萬華區,房地(土地+建物)+車位,臺北市萬華區柳州街1~30號,13.93,商,,,1081208,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970104,167.86,3,2,2,有,有,26900000,160253,升降機械,17.42,0,,RPPNMLMKKHPFFBA27CA
大同區,房地(土地+建物),臺北市大同區南京西路64巷20弄1~30號,20.25,商,,,1081230,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),,加強磚造,,65.84,0,0,0,無,無,12500000,189854,,0.0,0,,RPXNMLMKKHPFFBA08CA
中正區,房地(土地+建物),臺北市中正區忠孝西路一段31~60號,2.53,商,,,1090109,土地1建物1車位0,十六層,二十七層,套房(1房1廳1衛),住家用,鋼骨混凝土造,0790815,45.83,0,1,1,有,有,10820000,236090,,0.0,0,含增建或未登記建物。;,RPOOMLMKKHPFFBA27CA
大同區,房地(土地+建物),臺北市大同區延平北路一段61~90號,37.13,商,,,1081225,土地20建物2車位0,全,三層,透天厝,,加強磚造,,85.9,5,2,2,有,無,18720000,217928,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLNKKHPFFBA67CA
萬華區,房地(土地+建物),臺北市萬華區青年路1~30號,21.6,住,,,1090112,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760316,100.53,3,2,2,有,有,16500000,164130,,0.0,0,,RPSPMLNKKHPFFBA87CA
萬華區,房地(土地+建物),臺北市萬華區西園路一段212巷1~30號,116.0,商,,,1081223,土地2建物1車位0,全,二層,透天厝,,磚造,,169.1,3,2,2,有,無,27500000,162626,,0.0,0,含增建或未登記建物。;,RPWNMLQKKHPFFBA38CA
大同區,房地(土地+建物),臺北市大同區貴德街1~30號,27.0,住,,,1090108,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650122,86.03,3,2,1,有,無,9480000,110194,,0.0,0,,RPQOMLLLKHPFFBA47CA
大同區,房地(土地+建物),臺北市大同區南京西路271~300號,24.18,商,,,1090108,土地1建物1車位0,十二層,十九層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1011214,290.75,4,2,2,有,有,70360000,241995,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOPMLLLKHPFFBA37CA
大同區,房地(土地+建物),臺北市大同區重慶北路三段335巷31~60號,67.0,住,,,1080910,土地1建物1車位0,全,一層,透天厝,,見其他登記事項,,39.6,0,0,0,無,無,19950000,503788,,0.0,0,含增建或未登記建物。;,RPSQMLQKOHPFFBA68CA
內湖區,房地(土地+建物),臺北市內湖區成功路二段250巷23弄1~30號,27.83,住,,,1081203,土地3建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690128,92.49,3,1,1,有,無,8000000,86496,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQOMLMKKHPFFCA57CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段253巷31~60號,47.56,住,,,1081212,土地1建物1車位3,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980923,286.61,3,2,2,有,有,42570000,148529,坡道機械,0.0,0,,RPUOMLMKKHPFFCA97CA
內湖區,房地(土地+建物)+車位,臺北市內湖區金龍路47巷14弄1~30號,36.74,住,,,1081222,土地1建物1車位1,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930305,149.48,3,2,2,有,有,26880000,179835,坡道平面,0.0,0,含增建或未登記建物。;,RPVOMLMKKHPFFCA08CA
中山區,房地(土地+建物),臺北市中山區長安東路二段151~180號,9.17,商,,,1090101,土地1建物1車位0,三層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,0771026,114.4,3,2,2,有,有,21680000,189510,,0.0,0,含增建或未登記建物。;,RPQPMLMKKHPFFCA67CA
中山區,房地(土地+建物),臺北市中山區林森北路421~450號,3.55,商,,,1081227,土地1建物1車位0,六層,十層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0850617,34.19,0,1,1,有,有,5550000,162328,,0.0,0,含增建或未登記建物。;,RPSPMLMKKHPFFCA87CA
中山區,房地(土地+建物),臺北市中山區通北街65巷2弄1~30號,37.77,住,,,1081215,土地1建物1車位0,七層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0831003,149.26999999999998,4,2,2,有,有,24660000,165204,,0.0,0,含增建或未登記建物。;,RPUPMLMKKHPFFCA08CA
內湖區,房地(土地+建物)+車位,臺北市內湖區康寧路三段75巷1~30號,103.68,住,,,1081216,土地2建物1車位1,全,六層,透天厝,住家用,鋼筋混凝土造,0830328,276.26,5,2,3,有,有,41000000,148411,坡道平面,0.0,0,含增建或未登記建物。;,RPOQMLMKKHPFFCA57CA
內湖區,房地(土地+建物)+車位,臺北市內湖區文湖街21巷94弄1~30號,24.53,住,,,1081217,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850110,108.03999999999999,3,2,1,有,有,14850000,137449,塔式車位,0.0,0,含增建或未登記建物。;,RPVPMLLKKHPFFCA08CA
內湖區,房地(土地+建物),臺北市內湖區內湖路一段691巷1~30號,16.54,商,,,1090114,土地3建物1車位0,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0731016,105.22,3,2,2,有,有,5750000,54647,,0.0,0,親友、員工或其他特殊關係間之交易。;包含公共設施保留地之交易。;,RPPNMLNKKHPFFCA47CA
